date_found,company,title,location,area_group,visa_bucket,fit_score,link,application_status,visa_reason,work_model,date_posted,job_id
2026-09-17,Lennox,Hardware Engineering Spring Coop,"Carrollton, TX",Southwest,B - Unclear,47,https://jobright.ai/jobs/info/6aac28d73dbb1f8967ce918c,,No job description available - visa status not stated,On Site,2026-09-17,6aac28d73dbb1f8967ce918c
2026-09-17,Lennox,SAP EWM Functional Analyst Co-Op,"Richardson, TX",Southwest,B - Unclear,47,https://jobright.ai/jobs/info/6aac28e33dbb1f8967ce91a4,,No job description available - visa status not stated,On Site,2026-09-17,6aac28e33dbb1f8967ce91a4
2026-09-17,Lennox,SAP IBP Functional Analyst Co-Op,"Richardson, TX",Southwest,B - Unclear,47,https://jobright.ai/jobs/info/6aac29483e3ce93970c7bfb6,,No job description available - visa status not stated,On Site,2026-09-17,6aac29483e3ce93970c7bfb6
2026-09-17,Metal Technologies,Process Engineer Intern,"Three Rivers, MI",Midwest,B - Unclear,47,https://jobright.ai/jobs/info/6aac2e8b636cddf7396f2b56,,No job description available - visa status not stated,On Site,2026-09-17,6aac2e8b636cddf7396f2b56
2026-09-17,Resonetics,Quality Engineering Co-op,"Nashua, NH",Northeast,B - Unclear,47,https://jobright.ai/jobs/info/6a999fc48a8b765bc55f44e1,,No job description available - visa status not stated,On Site,2026-09-17,6a999fc48a8b765bc55f44e1
2026-09-17,TTM Technologies,RF/Microwave Engineering Intern,"Syracuse, NY",Northeast,B - Unclear,47,https://jobright.ai/jobs/info/6aabf182636cddf7396f153d,,No job description available - visa status not stated,On Site,2026-09-17,6aabf182636cddf7396f153d
2026-09-17,TTM Technologies,RF/Microwave Engineering Intern,"Farmingdale, NY",Northeast,B - Unclear,47,https://jobright.ai/jobs/info/6aabf1713e3ce93970c7ac8c,,No job description available - visa status not stated,On Site,2026-09-17,6aabf1713e3ce93970c7ac8c
2026-09-17,X-energy,Nuclear Engineering Internship - Summer 2027,"Rockville, MD",Northeast,B - Unclear,47,https://jobright.ai/jobs/info/6aac12713dbb1f8967ce8a0c,,No job description available - visa status not stated,On Site,2026-09-17,6aac12713dbb1f8967ce8a0c
2026-09-17,Kaw Valley Engineering,Engineering Internship - MULTIPLE LOCATIONS,"Junction City, KS",Midwest,B - Unclear,39,https://jobright.ai/jobs/info/6aac2e8a2e757fcb5c8b432c,,No job description available - visa status not stated,On Site,2026-09-17,6aac2e8a2e757fcb5c8b432c
2026-09-18,Sargent & Lundy,Mechanical Engineering Intern - Nuclear (Summer 2027),"Charlotte, NC",Southeast,A - Likely OK,89,https://jobright.ai/jobs/info/6aad73032e757fcb5c8b870f,,Description read; nothing rules out international students,On Site,2026-09-18,6aad73032e757fcb5c8b870f
2026-09-18,Amazon,Robotics - Software Development Engineer Fall Intern/Co-op - 2026,"Austin, TX",Southwest,A - Likely OK,79,https://jobright.ai/jobs/info/6a90998d0bd89e205d24b415,,Description mentions 'h1b',On Site,2026-09-18,6a90998d0bd89e205d24b415
2026-09-18,"Cretex Companies, Inc.",Manufacturing Engineer Intern - Summer 2027 - rms Company,"Coon Rapids, MN",Midwest,A - Likely OK,79,https://jobright.ai/jobs/info/6a9af96f90a313642c657b6d,,Description mentions 'h1b',On Site,2026-09-18,6a9af96f90a313642c657b6d
2026-09-18,HDR,Mechanical Intern - Summer 2027,"Pittsburgh, PA",Northeast,A - Likely OK,79,https://jobright.ai/jobs/info/6aad85663d96632d741ae6c4,,Description mentions 'h1b',On Site,2026-09-18,6aad85663d96632d741ae6c4
2026-09-18,Marvin Engineering Company,INTERN (MECHANICAL ENGINEERING),"Inglewood, CA",West,A - Likely OK,79,https://jobright.ai/jobs/info/6aad7e476956574eac8b5fff,,Description read; nothing rules out international students,On Site,2026-09-18,6aad7e476956574eac8b5fff
2026-09-18,Sargent & Lundy,Mechanical Engineering Intern - Nuclear (Summer 2027),"Chicago, IL",Midwest,A - Likely OK,79,https://jobright.ai/jobs/info/6aad731f3d96632d741adf40,,Description read; nothing rules out international students,On Site,2026-09-18,6aad731f3d96632d741adf40
2026-09-18,Sargent & Lundy,Mechanical Engineering Intern - Nuclear (Summer 2027),"Warrenville, IL",Midwest,A - Likely OK,79,https://jobright.ai/jobs/info/6aad72f9de327d3e210d27b1,,Description read; nothing rules out international students,On Site,2026-09-18,6aad72f9de327d3e210d27b1
2026-09-18,Sargent & Lundy,Mechanical Engineering Intern - Nuclear (Summer 2027),"Chattanooga, TN",Southeast,B - Unclear,71,https://jobright.ai/jobs/info/6aad73213d96632d741adf44,,No job description available - visa status not stated,On Site,2026-09-18,6aad73213d96632d741adf44
2026-09-18,Amazon,"ASIC Engineer Intern, Annapurna Labs - 2027","Austin, TX",Southwest,A - Likely OK,65,https://jobright.ai/jobs/info/6a90b5c1a198864866762c33,,Description mentions 'h1b',On Site,2026-09-18,6a90b5c1a198864866762c33
2026-09-18,Blach Construction Company,Project Engineer Intern (Bay Area),"San Jose, CA",West,A - Likely OK,65,https://jobright.ai/jobs/info/6a9b2ed990a313642c658f80,,Description read; nothing rules out international students,On Site,2026-09-18,6a9b2ed990a313642c658f80
2026-09-18,Blach Construction Company,Project Engineer Intern (SoCal),"Orange, CA",West,A - Likely OK,65,https://jobright.ai/jobs/info/6a9b2df21388387060596fcf,,Description read; nothing rules out international students,On Site,2026-09-18,6a9b2df21388387060596fcf
